# t K U E
0.627 11.7265 59.4002 71.1267
0.628 11.7545 59.3722 71.1267
0.629 11.7825 59.3442 71.1267
0.63 11.8106 59.3161 71.1267
0.631 11.8387 59.288 71.1267
0.632 11.8669 59.2598 71.1267
0.633 11.8951 59.2316 71.1267
0.634 11.9233 59.2034 71.1267
0.635 11.9516 59.1751 71.1267
0.636 11.9799 59.1468 71.1267
0.637 12.0083 59.1184 71.1267
0.638 12.0367 59.09 71.1267
0.639 12.0651 59.0616 71.1267
0.64 12.0936 59.0331 71.1267
0.641 12.1221 59.0046 71.1267
0.642 12.1507 58.976 71.1267
0.643 12.1793 58.9474 71.1267
0.644 12.208 58.9187 71.1267
0.645 12.2367 58.89 71.1267
0.646 12.2654 58.8613 71.1267
0.647 12.2942 58.8325 71.1267
0.648 12.3231 58.8036 71.1267
0.649 12.352 58.7747 71.1267
0.65 12.3809 58.7458 71.1267
0.651 12.4099 58.7168 71.1267
0.652 12.4389 58.6878 71.1267
0.653 12.468 58.6587 71.1267
0.654 12.4971 58.6296 71.1267
0.655 12.5263 58.6004 71.1267
0.656 12.5555 58.5712 71.1267
0.657 12.5848 58.5419 71.1267
0.658 12.6141 58.5126 71.1267
0.659 12.6435 58.4832 71.1267
0.66 12.6729 58.4538 71.1267
0.661 12.7024 58.4243 71.1267
0.662 12.732 58.3948 71.1267
0.663 12.7615 58.3652 71.1267
0.664 12.7912 58.3356 71.1267
0.665 12.8208 58.3059 71.1267
0.666 12.8506 58.2761 71.1267
0.667 12.8804 58.2464 71.1267
0.668 12.9102 58.2165 71.1267
0.669 12.9401 58.1866 71.1267
0.67 12.97 58.1567 71.1267
0.671 13 58.1267 71.1267
0.672 13.0301 58.0966 71.1267
0.673 13.0602 58.0665 71.1267
0.674 13.0903 58.0364 71.1267
0.675 13.1205 58.0062 71.1267
0.676 13.1508 57.9759 71.1267
0.677 13.1811 57.9456 71.1267
0.678 13.2115 57.9152 71.1267
0.679 13.2419 57.8848 71.1267
0.68 13.2724 57.8543 71.1267
0.681 13.3029 57.8238 71.1267
0.682 13.3335 57.7932 71.1267
